"","Country","beta","SD","x_min","SD","ntail","GOF","pvalue","Country","alpha_LS","beta_LS","R2","ntail"
"1","Brazil","1.84875949835215","0.232000517523388","1290","647.355950280552","22","0.105579894851097","0.81","Brazil","9.08328995499433","0.824926804845439","0.971289340413418","22"
"2","Canada","1.3873126617657","0.199364799263386","120","291.424277463202","9","0.149423025135328","0.94","Canada","3.97874221696843","0.347079832884993","0.956314168949623","9"
"3","China","1.72454984163752","0.582200315600429","127","168.954652633376","27","0.17843104490987","0.05","China","6.22501291619057","0.616356284843106","0.86008177502559","27"
"4","China_Excl_Hubei","1.83937231355756","1.01582037231894","127","229.057585278762","26","0.213344990345806","0","China_Excl_Hubei","8.00873211251124","0.937147297449849","0.832450572364463","26"
"5","Germany","1.91669029610057","0.247662424573008","2556","1231.32206763398","13","0.145048190965818","0.79","Germany","8.28709919833937","0.733176937501713","0.936472384416951","13"
"6","India","1.76841444672838","0.265264456212787","696","315.005130630014","15","0.189667017030691","0.2","India","7.59751980250841","0.731271926031254","0.940500543873613","15"
"7","Italy","1.88200545674762","0.419583415367895","2572","1491.52416939143","15","0.0974521766272325","1","Italy","8.77500755013855","0.76953452836107","0.984634768863327","15"
"8","Malaysia","1.80759757845869","0.367510509612281","89","107.473845068172","14","0.146154128573407","0.53","Malaysia","6.19097818404184","0.767594418542388","0.936414188961387","14"
"9","Mexico","2.22556985347772","0.438405735038235","582","144.572429856966","15","0.0960010144425757","0.94","Mexico","8.48373935446927","0.922332942333591","0.976420988601949","15"
"10","Netherlands","3.57640500604592","0.941556465344592","4408","1779.97350664088","5","0.224660091221969","0.64","Netherlands","18.0765628378771","1.9499529295176","0.859715071853137","5"
"11","Romania","2.97537355182775","1.2238725193235","379","166.897166669852","16","0.145155862347729","0.38","Romania","10.6855178328035","1.36105477568554","0.901478770290935","16"
"12","Russia","2.49399068073988","0.401783801772894","772","138.494759409295","54","0.119929569658869","0.04","Russia","10.1011124256548","0.964532792430147","0.846035441386458","54"
"13","Spain","2.39503654112537","0.581231135197456","9291","3767.94390320195","8","0.166630946748118","0.75","Spain","10.3288647120641","0.913707908437838","0.923615889281045","8"
"14","Sweden","2.56547889801312","0.903144230063891","805","316.950144248893","11","0.150374657493617","0.75","Sweden","8.75940570732239","0.978071142734366","0.920873060552331","11"
"15","UK","4.69358128917163","0.7657603237831","11468","2763.84778080388","8","0.184584761265134","0.98","UK","23.020938851686","2.24310784939527","0.959215521820957","8"
"16","USA","1.84463982461514","0.168771376213229","6150","2548.98979348147","36","0.11725153593127","0.8","USA","11.2445860119169","0.866537274510855","0.968826570447895","36"
